scene,agent_id,agent_type,frame_origin,origin_x,origin_y,frame_goal,goal_x,goal_y,preferred_speed
seq_eth,0,0,0,369.0,355.0,55,347.0,447.0,1.6526544834712131
seq_eth,1,0,437,0.34411558667679637,63.0,898,337.99797055920095,449.45639058050534,1.539349483672988
seq_eth,2,0,810,299.0,7.0,1115,325.0,440.0,1.7109480628684404
seq_eth,3,0,847,529.7203246383506,1.1893843578747632,1236,317.7430258507944,449.95729228492814,1.548907001094651
seq_eth,4,0,957,1.3602143431381006,77.0,1375,312.0,451.0,1.6373194969938507
seq_eth,5,0,1305,311.0,1.0,1846,320.96373067486707,448.5284987732717,1.3377802890302828
seq_eth,6,0,1310,294.0,2.0,1833,308.8033874810482,452.7488250183829,1.4200770024238736
seq_eth,7,0,1322,2.374863451165767,10.951266923236147,1429,137.59644536534415,0.05735798264473757,1.717410257502582
seq_eth,8,0,1340,336.0,441.0,1998,90.20932865456491,3.0570052338361746,1.1760274989622035
seq_eth,9,0,1367,355.09883757587346,448.50694790399575,2085,2.9999999999999996,12.0,1.208788882662957
seq_eth,10,0,1390,339.0,449.0,2073,2.297607422822686,17.00129975266269,1.229421522190416
seq_eth,11,0,1399,2.7601669812255483,89.98639119985668,1893,322.74400279017846,449.6407286936524,1.367134592814342
seq_eth,12,0,1464,0.6858049151824418,5.934486730062824,1541,89.15430005155129,0.036743691700414916,1.5808238355202222
seq_eth,13,0,1527,0.3669644969935311,12.9865414856786,1608,86.65674940503891,1.0845837671803809,1.452382392693233
seq_eth,14,0,1535,339.0,448.0,1831,325.19965807522925,5.748379247732594,1.8319443948525365
seq_eth,15,0,1722,364.1260300710626,446.6163857264751,2398,3.278336723040764,42.02400294515882,1.1674175127276534
seq_eth,16,0,1725,347.0,448.0,2393,6.293447921010057,53.0,1.1154567031560563
seq_eth,17,0,1750,345.0,446.0,2398,4.174028910716775,65.96778785157481,1.0943415150790574
seq_eth,18,0,1779,360.01410266321614,447.5100029827401,2363,95.27719701314547,3.0552928893008735,1.2717739033093323
seq_eth,19,0,1805,352.0,448.0,2466,1.635486744500361,3.0,1.2792808072455537
seq_eth,20,0,1807,338.97103461946057,448.8804448638016,2453,4.256961839722955,14.948864746355662,1.257236251303306
seq_eth,21,0,1827,363.00620841893175,447.6166244289868,2323,129.34884996685287,1.015184107338014,1.457273872765361
seq_eth,22,0,1840,344.0,448.0,2286,194.66415411744669,1.2480717800322323,1.4211022757596572
seq_eth,23,0,1860,355.0,448.0,2240,271.0,3.9999999999999996,1.513561929939876
seq_eth,24,0,1882,337.84459448793876,446.5062168672645,2416,2.594239803251064,3.0137599247788103,1.4309178315008786
seq_eth,25,0,2007,326.8978357206383,449.4922695163331,2430,124.0,4.999999999999997,1.463550598447938
seq_eth,26,0,2035,1.0,75.0,2641,318.7092026956403,450.10488376873576,1.1301348840109129
seq_eth,27,0,2072,328.078938074074,450.46596309139386,2428,298.9716998164345,5.288355503839633,1.5047580105458098
seq_eth,28,0,2104,327.2529561083473,450.98642867383563,2433,287.9686292613637,2.3553005743244806,1.6571926858429584
seq_eth,29,0,2127,342.2575371919012,447.0221844817306,2410,519.0,3.0,2.0244484793696724
seq_eth,30,0,2187,328.78783272818765,449.4462246017138,2596,67.69087531095244,0.027228561703935394,1.7086980285399052
seq_eth,31,0,2354,311.7369519699625,450.1574802046038,2735,264.00000000000006,1.0000000000000013,1.4438588462584445
seq_eth,32,0,2355,332.0,448.0,2735,292.0,1.9999999999999991,1.4236517110736038
seq_eth,33,0,2450,329.0,451.0,2786,331.12960751028817,5.648541256313648,1.6008641769770708
seq_eth,34,0,2550,349.0,443.0,3003,545.8603645025427,2.2217737243416043,1.301860495241477
seq_eth,35,0,2560,326.0,444.0,2988,528.8446529193494,0.20404020149156227,1.4147442883973693
seq_eth,36,0,2599,1.6030064225210192,70.0868236426597,3108,319.80842612184586,450.42088177616466,1.3433192096156445
seq_eth,37,0,2982,334.17030688950103,448.45079954695393,3340,502.0,0.0,1.6045066922787241
seq_eth,38,0,3012,330.81348089116534,450.414566975153,3333,338.100852910053,0.45782321215245153,1.6817542221998936
seq_eth,39,0,3029,636.0154864166243,18.037711424414386,3166,429.71267050536255,1.6511174351303994,1.7979265715051056
seq_eth,40,0,3139,2.707920401371928,88.91210988743325,3575,306.00000000000006,453.0,1.5335110912463807
