scene,agent_id,agent_type,frame,x,y
seq_eth,249,0,0,300.0,10.0
seq_eth,249,0,1,299.80019274768625,11.028456688720055
seq_eth,249,0,2,299.60283586709147,12.056394365681367
seq_eth,249,0,3,299.40794974965866,13.08381829323951
seq_eth,249,0,4,299.2155547868305,14.110733733750056
seq_eth,249,0,5,299.0256713700501,15.137145949568577
seq_eth,249,0,6,298.83831989076015,16.163060203050645
seq_eth,249,0,7,298.65352074040356,17.188481756551827
seq_eth,249,0,8,298.4712943104233,18.213415872427706
seq_eth,249,0,9,298.29166099226217,19.237867813033844
seq_eth,249,0,10,298.11464117736307,20.261842840725816
seq_eth,249,0,11,297.9402552571689,21.28534621785919
seq_eth,249,0,12,297.7685236231224,22.308383206789543
seq_eth,249,0,13,297.5994666666667,23.330959069872446
seq_eth,249,0,14,297.4331047792444,24.35307906946347
seq_eth,249,0,15,297.26945835229856,25.374748467918185
seq_eth,249,0,16,297.10854777727207,26.395972527592164
seq_eth,249,0,17,296.95039344560763,27.41675651084098
seq_eth,249,0,18,296.7950157487483,28.43710568002021
seq_eth,249,0,19,296.6424350781368,29.457025297485416
seq_eth,249,0,20,296.49267182521623,30.476520625592176
seq_eth,249,0,21,296.34574638142925,31.495596926696056
seq_eth,249,0,22,296.2016791382188,32.514259463152634
seq_eth,249,0,23,296.0604904870278,33.53251349731748
seq_eth,249,0,24,295.922200819299,34.55036429154616
seq_eth,249,0,25,295.78683052647546,35.56781710819426
seq_eth,249,0,26,295.65439999999995,36.58487720961734
seq_eth,249,0,27,295.52492963131544,37.60154985817097
seq_eth,249,0,28,295.39843981186465,38.61784031621073
seq_eth,249,0,29,295.27495093309057,39.63375384609218
seq_eth,249,0,30,295.154483386436,40.649295710170925
seq_eth,249,0,31,295.0370575633439,41.664471170802486
seq_eth,249,0,32,294.9226938552572,42.67928549034248
seq_eth,249,0,33,294.81141265361856,43.69374393114644
seq_eth,249,0,34,294.703234349871,44.70785175556997
seq_eth,249,0,35,294.5981793354575,45.72161422596864
seq_eth,249,0,36,294.4962680018207,46.735036604697996
seq_eth,249,0,37,294.3975207404036,47.74812415411363
seq_eth,249,0,38,294.3019579426491,48.76088213657111
seq_eth,249,0,39,294.2096,49.773315814426006
seq_eth,249,0,40,294.1204673038992,50.78543045003389
seq_eth,249,0,41,294.0345802457897,51.797231305750344
seq_eth,249,0,42,293.9519592171142,52.80872364393092
seq_eth,249,0,43,293.8726246093157,53.81991272693119
seq_eth,249,0,44,293.796596813837,54.830803817106755
seq_eth,249,0,45,293.7238962221211,55.841402176813155
seq_eth,249,0,46,293.6545432256107,56.85171306840599
seq_eth,249,0,47,293.5885582157487,57.86174175424081
seq_eth,249,0,48,293.5259615839782,58.87149349667318
seq_eth,249,0,49,293.46677372174173,59.880973558058706
seq_eth,249,0,50,293.41101502048247,60.89018720075292
seq_eth,249,0,51,293.35870587164317,61.89913968711143
seq_eth,249,0,52,293.30986666666666,62.907836279489786
seq_eth,249,0,53,293.2645177969959,63.91628224024357
seq_eth,249,0,54,293.2226796540738,64.92448283172833
seq_eth,249,0,55,293.18437262934304,65.93244331629967
seq_eth,249,0,56,293.14961711424667,66.94016895631314
seq_eth,249,0,57,293.1184335002276,67.94766501412433
seq_eth,249,0,58,293.09084217872856,68.9549367520888
